pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.33986,1.34018,LOSS,-0.02388,2026-03-29 14:34:09,ema_bounce,81,BEAR
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.50411,0.50407,WIN,0.00793,2026-03-29 14:34:09,level_breakout,61.9,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.74936,1.74903,WIN,0.01886,2026-03-29 14:34:59,level_breakout,57.7,BEAR
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,223.928,223.942,LOSS,-0.00625,2026-03-29 14:34:59,level_touch,67.7,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.419,242.451,LOSS,-0.0132,2026-03-29 14:36:39,level_touch,67.6,BEAR
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,107.658,107.669,LOSS,-0.01022,2026-03-29 14:36:39,ema_bounce,68.4,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.33999,1.33959,WIN,0.02985,2026-03-29 14:37:29,level_touch,66.5,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.15999,1.16012,LOSS,-0.01121,2026-03-29 14:39:09,level_touch,65.1,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.84752,0.84729,WIN,0.02714,2026-03-29 14:39:09,level_breakout,57.0,BEAR
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.964,184.883,WIN,0.04379,2026-03-29 14:39:59,level_touch,64.4,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.644,242.771,LOSS,-0.05234,2026-03-29 14:39:59,level_touch,66.8,BEAR
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,107.641,107.612,WIN,0.02694,2026-03-29 14:39:59,level_breakout,61.5,BEAR
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95082,0.95015,LOSS,-0.07047,2026-03-29 14:41:39,level_touch,63.9,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.75064,1.74998,WIN,0.0377,2026-03-29 14:41:39,ema_bounce,76,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.56674,18.56756,WIN,0.00442,2026-03-29 14:41:39,level_touch,63.1,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88378,0.88286,LOSS,-0.1041,2026-03-29 14:41:39,level_touch,61.6,NEUTRAL
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.16013,1.16016,LOSS,-0.00259,2026-03-29 14:42:29,level_touch,59.8,NEUTRAL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0001855,0.0001866,WIN,0.59299,2026-03-29 14:42:29,ema_bounce,63.0,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,117.191,117.139,LOSS,-0.04437,2026-03-29 14:42:29,level_touch,66.6,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34005,1.33999,WIN,0.00448,2026-03-29 14:42:29,level_touch,64.7,NEUTRAL
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,102.971,102.945,LOSS,-0.02525,2026-03-29 14:42:29,level_touch,64.9,NEUTRAL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,224.165,224.143,LOSS,-0.00981,2026-03-29 14:42:29,ema_bounce,80,NEUTRAL
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.837,184.752,WIN,0.04599,2026-03-29 14:43:19,level_touch,61.5,NEUTRAL
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.762,242.811,LOSS,-0.02018,2026-03-29 14:44:09,level_touch,66.0,NEUTRAL
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.84764,0.84791,LOSS,-0.03185,2026-03-29 14:44:09,ema_bounce,76,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.74935,1.74928,WIN,0.004,2026-03-29 14:44:59,ema_bounce,70.5,BEAR
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,107.641,107.604,WIN,0.03437,2026-03-29 14:44:59,ema_bounce,63.6,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,117.168,116.992,WIN,0.15021,2026-03-29 14:45:49,level_touch,67.6,BEAR
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.88375,0.88425,LOSS,-0.05658,2026-03-29 14:46:39,level_touch,64.4,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.79119,0.79163,LOSS,-0.05561,2026-03-29 14:47:29,level_touch,64.7,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.75045,1.75068,LOSS,-0.01314,2026-03-29 14:49:09,level_breakout,56.1,BEAR
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,107.527,107.481,WIN,0.04278,2026-03-29 14:49:09,level_breakout,55.9,BEAR
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.50108,0.50191,LOSS,-0.16564,2026-03-29 14:49:09,level_touch,71.7,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.699,242.817,LOSS,-0.04862,2026-03-29 14:49:59,level_touch,68.1,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.8477,0.84738,WIN,0.03775,2026-03-29 14:49:59,level_touch,66.4,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.7911,0.78998,WIN,0.14158,2026-03-29 14:50:49,level_touch,69.5,BEAR
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60376,0.60459,WIN,0.13747,2026-03-29 14:51:39,ema_bounce,69.5,NEUTRAL
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43696,1.43735,LOSS,-0.02714,2026-03-29 14:51:39,level_touch,62.8,NEUTRAL
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,242.993,242.541,LOSS,-0.18601,2026-03-29 14:53:19,level_touch,64.7,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.84763,0.84742,LOSS,-0.02477,2026-03-29 14:53:19,level_touch,55.3,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,224.123,223.948,LOSS,-0.07808,2026-03-29 14:54:09,ema_bounce,65.7,BULL
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.857,184.871,LOSS,-0.00757,2026-03-29 14:54:59,level_touch,64.7,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.72686,0.72601,LOSS,-0.11694,2026-03-29 14:54:59,level_touch,64.4,NEUTRAL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60376,0.60333,LOSS,-0.07122,2026-03-29 14:54:59,level_breakout,57.0,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.75063,1.74877,WIN,0.10625,2026-03-29 14:54:59,level_touch,64.4,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.76867,1.76853,WIN,0.00792,2026-03-29 14:54:59,ema_bounce,66.0,NEUTRAL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.79045,0.79048,WIN,0.0038,2026-03-29 14:54:59,level_touch,60.6,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60334,0.60311,LOSS,-0.03812,2026-03-29 14:54:59,level_touch,70.5,NEUTRAL
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,107.57,107.539,WIN,0.02882,2026-03-29 14:54:59,ema_bounce,61.9,NEUTRAL
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.50136,0.5018,LOSS,-0.08776,2026-03-29 14:54:59,ema_bounce,76,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95464,0.95507,WIN,0.04504,2026-03-29 14:56:39,ema_bounce,61.6,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,117.208,117.282,WIN,0.06314,2026-03-29 14:56:39,level_touch,62.0,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,161.729,161.74,WIN,0.0068,2026-03-29 14:56:39,level_touch,66.4,BULL
GBP/JPY OTC,#GBPJPY_otc,BUY,1m,242.278,242.321,WIN,0.01775,2026-03-29 14:57:29,level_touch,61.9,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.5669,18.56918,WIN,0.01228,2026-03-29 14:57:29,level_touch,63.1,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,223.934,224.057,WIN,0.05493,2026-03-29 14:57:29,level_touch,71.2,BULL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60453,0.60275,LOSS,-0.29444,2026-03-29 14:58:19,ema_bounce,72.6,BULL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.60254,0.60194,LOSS,-0.09958,2026-03-29 14:58:19,level_touch,69.5,BULL
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,103.147,103.143,LOSS,-0.00388,2026-03-29 14:59:09,ema_bounce,55.2,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,117.392,117.347,LOSS,-0.03833,2026-03-29 14:59:59,level_touch,61.9,BULL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.43677,1.43734,WIN,0.03967,2026-03-29 14:59:59,level_touch,69.1,BULL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.50272,0.50499,WIN,0.45154,2026-03-29 14:59:59,level_breakout,55.2,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.57015,18.57256,WIN,0.01298,2026-03-29 15:00:49,ema_bounce,78,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.84814,0.84861,WIN,0.05542,2026-03-29 15:00:49,level_breakout,62.0,BULL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60327,0.60337,WIN,0.01658,2026-03-29 15:02:29,level_touch,65.6,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34153,1.34178,WIN,0.01864,2026-03-29 15:03:19,ema_bounce,60.1,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,107.612,107.569,LOSS,-0.03996,2026-03-29 15:03:19,level_touch,64.6,BULL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.50413,0.50375,LOSS,-0.07538,2026-03-29 15:03:19,level_touch,61.9,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,224.035,223.875,LOSS,-0.07142,2026-03-29 15:03:19,level_touch,65.6,BULL
EUR/JPY OTC,#EURJPY_otc,SELL,1m,184.855,184.868,LOSS,-0.00703,2026-03-29 15:04:59,level_touch,61.5,NEUTRAL
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78876,0.78964,LOSS,-0.11157,2026-03-29 15:04:59,level_breakout,57.7,NEUTRAL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.84909,0.84945,WIN,0.0424,2026-03-29 15:04:59,level_touch,61.9,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.72491,0.72474,WIN,0.02345,2026-03-29 15:05:49,ema_bounce,60.4,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.76759,1.76602,WIN,0.08882,2026-03-29 15:05:49,ema_bounce,76,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,117.183,117.264,LOSS,-0.06912,2026-03-29 15:07:29,level_touch,65.1,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78925,0.78956,LOSS,-0.03928,2026-03-29 15:08:19,level_breakout,57.7,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.84965,0.84958,WIN,0.00824,2026-03-29 15:08:19,level_touch,64.7,BEAR
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60123,0.60132,LOSS,-0.01497,2026-03-29 15:09:59,ema_bounce,61.1,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.226,242.209,WIN,0.00702,2026-03-29 15:10:49,ema_bounce,83,BEAR
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19422,1.19536,LOSS,-0.09546,2026-03-29 15:10:49,level_touch,64.7,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34063,1.34118,LOSS,-0.04103,2026-03-29 15:10:49,level_touch,69.9,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78935,0.78876,WIN,0.07475,2026-03-29 15:12:29,level_breakout,56.1,BEAR
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,223.54,223.693,LOSS,-0.06844,2026-03-29 15:12:29,level_touch,64.7,BEAR
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.60165,0.60188,LOSS,-0.03823,2026-03-29 15:13:19,ema_bounce,64.0,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.1,242.295,LOSS,-0.08055,2026-03-29 15:14:09,ema_bounce,58.9,BEAR
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.72423,0.72387,WIN,0.04971,2026-03-29 15:14:59,level_touch,66.0,BEAR
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19608,1.19762,LOSS,-0.12875,2026-03-29 15:14:59,ema_bounce,55.6,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.75027,1.7501,WIN,0.00971,2026-03-29 15:14:59,level_touch,64.7,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,117.159,117.121,WIN,0.03243,2026-03-29 15:14:59,level_touch,59.8,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43602,1.43571,WIN,0.02159,2026-03-29 15:14:59,level_touch,66.8,BEAR
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60218,0.60108,WIN,0.18267,2026-03-29 15:14:59,level_touch,65.1,BEAR
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.50242,0.50314,LOSS,-0.14331,2026-03-29 15:14:59,level_touch,64.7,BEAR
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,223.652,223.708,LOSS,-0.02504,2026-03-29 15:15:49,ema_bounce,78,BEAR
GBP/JPY OTC,#GBPJPY_otc,SELL,1m,242.021,241.925,WIN,0.03967,2026-03-29 15:17:29,level_touch,65.7,BEAR
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.60209,0.60078,WIN,0.21758,2026-03-29 15:18:19,ema_bounce,57.0,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43613,1.4364,LOSS,-0.0188,2026-03-29 15:18:19,level_touch,67.6,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0001587,0.0001582,WIN,0.31506,2026-03-29 15:19:59,ema_bounce,63.6,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,117.233,117.23,WIN,0.00256,2026-03-29 15:19:59,ema_bounce,76,BEAR
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.72417,0.72436,LOSS,-0.02624,2026-03-29 15:22:29,level_touch,57.3,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.76529,1.76704,LOSS,-0.09913,2026-03-29 15:22:29,ema_bounce,60.0,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.43581,1.43625,LOSS,-0.03064,2026-03-29 15:22:29,ema_bounce,88,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.79061,0.79021,WIN,0.05059,2026-03-29 15:22:29,level_touch,64.7,BEAR
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60064,0.60066,LOSS,-0.00333,2026-03-29 15:22:29,level_touch,66.5,BEAR
